"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        数据驱动测试：添加指定商品到购物车并验证
        ","116","添加商品到购物车：Sauce Labs Bolt T-Shirt","tests","Tue Jan 27 18:19:43 UTC 2026","passed","Tue Jan 27 18:19:43 UTC 2026","TestCart","test_cart","",""
"
        测试从商品列表页移除购物车中的商品
        ","2116","从商品列表页移除购物车商品","tests","Tue Jan 27 18:19:43 UTC 2026","passed","Tue Jan 27 18:19:45 UTC 2026","TestCart","test_cart","",""
"
        数据驱动测试：登录失败场景

        使用 test_data.json 中的数据进行参数化测试，
        覆盖多种登录失败情况。
        ","325","登录失败测试：被锁定用户登录","tests","Tue Jan 27 18:19:50 UTC 2026","passed","Tue Jan 27 18:19:51 UTC 2026","TestLogin","test_login","",""
"
        测试从购物车返回继续购物
        ","133","从购物车返回继续购物","tests","Tue Jan 27 18:19:47 UTC 2026","passed","Tue Jan 27 18:19:47 UTC 2026","TestCart","test_cart","",""
"
        数据驱动测试：验证有效用户可以登录
        ","303","验证用户登录：标准用户，可正常登录","tests","Tue Jan 27 18:19:56 UTC 2026","passed","Tue Jan 27 18:19:56 UTC 2026","TestMultiUserLogin","test_login","",""
"
        测试添加单个商品到购物车

        步骤:
        1. 登录后进入商品列表页面
        2. 添加第一个商品到购物车
        3. 验证购物车数量变为 1
        ","2070","添加单个商品到购物车","tests","Tue Jan 27 18:19:39 UTC 2026","passed","Tue Jan 27 18:19:41 UTC 2026","TestCart","test_cart","",""
"
        数据驱动测试：结账时必填字段验证
        ","221","结账验证：first_name 为空","tests","Tue Jan 27 18:19:48 UTC 2026","passed","Tue Jan 27 18:19:48 UTC 2026","TestCheckout","test_cart","",""
"
        测试关闭错误提示

        步骤:
        1. 打开登录页面
        2. 触发一个登录错误
        3. 关闭错误提示
        4. 验证错误提示已关闭
        ","3384","关闭登录错误提示","tests","Tue Jan 27 18:19:52 UTC 2026","passed","Tue Jan 27 18:19:56 UTC 2026","TestLogin","test_login","",""
"
        测试使用被锁定用户登录（独立测试，验证完整错误消息）
        ","368","使用被锁定用户登录失败","tests","Tue Jan 27 18:19:52 UTC 2026","passed","Tue Jan 27 18:19:52 UTC 2026","TestLogin","test_login","",""
"
        测试添加多个商品到购物车

        步骤:
        1. 登录后进入商品列表页面
        2. 添加多个商品到购物车
        3. 验证购物车数量正确
        ","166","添加多个商品到购物车","tests","Tue Jan 27 18:19:41 UTC 2026","passed","Tue Jan 27 18:19:41 UTC 2026","TestCart","test_cart","",""
"
        数据驱动测试：验证有效用户可以登录
        ","392","验证用户登录：问题用户，部分功能异常","tests","Tue Jan 27 18:19:56 UTC 2026","passed","Tue Jan 27 18:19:57 UTC 2026","TestMultiUserLogin","test_login","",""
"
        测试使用标准用户登录

        步骤:
        1. 打开登录页面
        2. 输入标准用户凭证
        3. 点击登录按钮
        4. 验证登录成功（跳转到商品页面）
        ","319","使用标准用户登录成功","tests","Tue Jan 27 18:19:50 UTC 2026","passed","Tue Jan 27 18:19:50 UTC 2026","TestLogin","test_login","",""
"
        测试查看购物车中的商品详情
        ","106","查看购物车中的商品","tests","Tue Jan 27 18:19:46 UTC 2026","passed","Tue Jan 27 18:19:46 UTC 2026","TestCart","test_cart","",""
"
        数据驱动测试：验证有效用户可以登录
        ","5338","验证用户登录：性能问题用户，响应较慢","tests","Tue Jan 27 18:19:57 UTC 2026","passed","Tue Jan 27 18:20:02 UTC 2026","TestMultiUserLogin","test_login","",""
